,drug_English,drug,MOL ID,MOlecule,MOlecule_url,MOleculeName,InChIKey,SMLIES,GIabsorption,Lipinski,Ghose,Veber,Egan,Muegge,SwissADME
30,Anemarrhena Rhizome,知母,MOL011051,Ginkgoic acid,https://tcmsp-e.com/molecule.php?qn=11051,Ginkgoic acid,YXHVCZZLWZYHSA-FPLPWBNLSA-N,CCCCCCC=CCCCCCCCC1=C(C(=CC=C1)O)C(=O)O,High,Yes,No,No,No,No,0
31,Anemarrhena Rhizome,知母,MOL004497,Hippeastrine,https://tcmsp-e.com/molecule.php?qn=4497,Hippeastrine,DGQPIOQRPAGNGB-DANNLKNASA-N,CN1CCC2=CC(C3C(C21)C4=CC5=C(C=C4C(=O)O3)OCO5)O,High,Yes,Yes,Yes,Yes,Yes,1
32,Anemarrhena Rhizome,知母,MOL004498,12-O-Nicotinoylisolineolone,https://tcmsp-e.com/molecule.php?qn=4498,12-O-Nicotinoylisolineolone,OQFVSKGDZKMZEH-WCYOEAGXSA-N,CC(=O)C1CCC2(C1(C(CC3C2(CC=C4C3(CCC(C4)O)C)O)OC(=O)C5=CN=CC=C5)C)O,High,Yes,Yes,Yes,Yes,Yes,1
33,Anemarrhena Rhizome,知母,MOL004499,Isomangiferolic acid,https://tcmsp-e.com/molecule.php?qn=4499,Isomangiferolic acid,DTTABXYTKOKPLZ-ZYBMQFKTSA-N,CC(CCC=C(C)C(=O)O)C1CCC2C1(CCC34C2CCC5C3(C4)CCC(C5(C)C)O)C,Low,Yes,No,Yes,No,No,0
34,Anemarrhena Rhizome,知母,MOL004500,Markogenin-3-O-beta-D-glucopyranosyl-(1-2)-beta-D-galactopyranoside,https://tcmsp-e.com/molecule.php?qn=4500,Markogenin-3-O-beta-D-glucopyranosyl-(1-2)-beta-D-galactopyranoside,CLQNVLOLYIVQAV-IKJHBKTASA-N,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CC(C(C6)OC7C(C(C(C(O7)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)O)C)C)C)OC1,Low,No,No,No,No,No,0
35,Anemarrhena Rhizome,知母,MOL004501,Markogenin-3-O-beta-D-glucopyranosyl-(1-2)-beta-D-galactopyranoside_qt,https://tcmsp-e.com/molecule.php?qn=4501,Markogenin-3-O-beta-D-glucopyranosyl-(1-2)-beta-D-galactopyranoside_qt,FWCXELAAYFYCSR-FJALFOMKSA-N,-,-,-,-,-,-,-,-
36,Anemarrhena Rhizome,知母,MOL004502,Monomethyl lithospermate,https://tcmsp-e.com/molecule.php?qn=4502,Monomethyl lithospermate,NFOCYHUCMXEHDG-ZQQFBUADSA-N,COC(=O)C1C(OC2=C(C=CC(=C12)C=CC(=O)OC(CC3=CC(=C(C=C3)O)O)C(=O)O)O)C4=CC(=C(C=C4)O)O,Low,No,No,No,No,No,0
37,Anemarrhena Rhizome,知母,MOL004503,D-Nicotine,https://tcmsp-e.com/molecule.php?qn=4503,D-Nicotine,SNICXCGAKADSCV-SNVBAGLBSA-N,CN1CCCC1C2=CN=CC=C2,High,Yes,Yes,Yes,Yes,No,1
38,Anemarrhena Rhizome,知母,MOL004504,Sarsasapogenin 3-O-4G-rhamnosylsophoroside,https://tcmsp-e.com/molecule.php?qn=4504,Sarsasapogenin 3-O-4G-rhamnosylsophoroside,BCUDKRWNGQAFLF-PJFZGHSASA-N,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)OC8C(C(C(C(O8)C)O)O)O)O)OC9C(C(C(C(O9)CO)O)O)O)C)C)C)OC1,Low,No,No,No,No,No,0
39,Anemarrhena Rhizome,知母,MOL004505,Smilagenin-3-O[beta-D-glucopyranosyl-(1-2)]-beta-D-mannopyranoside,https://tcmsp-e.com/molecule.php?qn=4505,Smilagenin-3-O[beta-D-glucopyranosyl-(1-2)]-beta-D-mannopyranoside,LEOGXSDGRXYLQR-ZUDACUSWSA-N,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CC(CC6)OC7C(C(C(C(O7)CO)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C)OC1,Low,No,No,No,No,No,0
40,Anemarrhena Rhizome,知母,MOL004506,Smilagenin-3-O[beta-D-glucopyranosyl-(1-2)]-beta-D-mannopyranoside_qt,https://tcmsp-e.com/molecule.php?qn=4506,Smilagenin-3-O[beta-D-glucopyranosyl-(1-2)]-beta-D-mannopyranoside_qt,MIKSFQCANHCEQR-SSWKLJHCSA-N,C[C@H]1C2C(CC3C4CCC5CC[C@@H](O)CC5C4CC[C@]32C)OC12CC[C@@H](C)CO2,High,Yes,No,Yes,Yes,No,1
41,Anemarrhena Rhizome,知母,MOL004507,Smilagenone,https://tcmsp-e.com/molecule.php?qn=4507,Smilagenone,CIBAPVLFORANSS-RRBFEMIKSA-N,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(=O)C6)C)C)C)OC1,High,Yes,No,Yes,No,No,1
42,Anemarrhena Rhizome,知母,MOL004508,Spongesterol,https://tcmsp-e.com/molecule.php?qn=4508,Spongesterol,IZCXTLTUZNOCLH-DIVMZPJYSA-N,CC(C)C(C)C=CCC1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,Low,Yes,No,Yes,No,No,0
43,Anemarrhena Rhizome,知母,MOL004509,Timosaponin A III,https://tcmsp-e.com/molecule.php?qn=4509,Timosaponin A III,MMTWXUQMLQGAPC-NOTQSSKVSA-N,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C)OC1,Low,No,No,No,No,No,0
44,Anemarrhena Rhizome,知母,MOL004510,Timosaponin A III_qt,https://tcmsp-e.com/molecule.php?qn=4510,Timosaponin A III_qt,GMBQZIIUCVWOCD-FNJZJKTFSA-N,C[C@H]1CCC2(OC1)OC1CC3C4CCC5C[C@@H](C)CCC5(C)C4CCC3[C@@]3(C1)C[C@H]23,Low,Yes,No,Yes,Yes,No,0
45,Anemarrhena Rhizome,知母,MOL004511,Timosaponin A-1,https://tcmsp-e.com/molecule.php?qn=4511,Timosaponin A-1,ZNEIIZNXGCIAAL-KMLLWSAHSA-N,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)O)O)C)C)C)OC1,High,Yes,No,Yes,Yes,Yes,1
46,Anemarrhena Rhizome,知母,MOL004512,Timosaponin A-1_qt,https://tcmsp-e.com/molecule.php?qn=4512,Timosaponin A-1_qt,GMBQZIIUCVWOCD-YRIXQGQQSA-N,CCC12[C@H]3CC314C(CC1C3CCC5CC(C)CCC5(C)C3CCC14)OC21CC[C@H](C)CO1,Low,Yes,No,Yes,Yes,No,0
47,Anemarrhena Rhizome,知母,MOL004513,Timosaponin B III,https://tcmsp-e.com/molecule.php?qn=4513,Timosaponin B III,ROHLIYKWVMBBFX-FJNNHFIASA-N,-,-,-,-,-,-,-,-
48,Anemarrhena Rhizome,知母,MOL004514,Timosaponin B III_qt,https://tcmsp-e.com/molecule.php?qn=4514,Timosaponin B III_qt,IQDKIMJGXXRZGR-BJWGWMTCSA-N,CC1=C(CCC(C)CO)O[C@@H]2CC1[C@@]1(C)CCC3C(CCC4C[C@H](C)CC[C@@]43C)[C@@H]1C2,Low,Yes,No,Yes,Yes,No,0
49,Anemarrhena Rhizome,知母,MOL004515,Timosaponin BII,https://tcmsp-e.com/molecule.php?qn=4515,Timosaponin BII,SORUXVRKWOHYEO-IEEWBPOCSA-N,CC1C2C(CC3C2(CCC4C3CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)OC1(CCC(C)COC8C(C(C(C(O8)CO)O)O)O)O,Low,No,No,No,No,No,0
50,Anemarrhena Rhizome,知母,MOL004516,Timosaponin BII_qt,https://tcmsp-e.com/molecule.php?qn=4516,Timosaponin BII_qt,BLAWZIKKZHLPBD-IESVHSLQSA-N,CCC1OC2CC(C(C)C1O)C13CCC4C5CCC(O)CC5CCC45F1C35C2,High,Yes,Yes,Yes,Yes,Yes,1
51,Anemarrhena Rhizome,知母,MOL004517,Xuelianlacton e,https://tcmsp-e.com/molecule.php?qn=4517,Xuelianlacton e,MHUPGVCFEGYWMI-QTJJRWQNSA-N,CC1C2C(CC(=C)C3CCC(=C)C3C2OC1=O)O,High,Yes,Yes,Yes,Yes,Yes,1
52,Anemarrhena Rhizome,知母,MOL004518,4-O-beta-D-Glucopyranosyl methyl gallate,https://tcmsp-e.com/molecule.php?qn=4518,4-O-beta-D-Glucopyranosyl methyl gallate,JUPHZGHVZWMVHU-QEGBUVANSA-N,COC(=O)C1=CC(=C(C(=C1)O)OC2C(C(C(C(O2)CO)O)O)O)O,Low,Yes,No,No,No,No,0
53,Anemarrhena Rhizome,知母,MOL004519,markogenin,https://tcmsp-e.com/molecule.php?qn=4519,markogenin,FWCXELAAYFYCSR-ZRUUGFNHSA-N,CC[C@H]1/C=C/C2CCC3C4CC(O)C(O)CC4CCC3C2COC12CC[C@H](C)CO2,High,Yes,No,Yes,Yes,No,1
54,Anemarrhena Rhizome,知母,MOL004520,neogitogenin,https://tcmsp-e.com/molecule.php?qn=4520,neogitogenin,FWCXELAAYFYCSR-HJXRQQMRSA-N,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CC(C(C6)O)O)C)C)C)OC1,High,Yes,No,Yes,Yes,No,1
55,Anemarrhena Rhizome,知母,MOL004521,xilingsaponin A,https://tcmsp-e.com/molecule.php?qn=4521,xilingsaponin A,MMTWXUQMLQGAPC-KQRWKONWSA-N,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C)OC1,Low,No,No,No,No,No,0
56,Anemarrhena Rhizome,知母,MOL000449,Stigmasterol,https://tcmsp-e.com/molecule.php?qn=449,Stigmasterol,HCXVJBMSMIARIN-PHZDYDNGSA-N,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,Low,Yes,No,Yes,No,No,0
57,Anemarrhena Rhizome,知母,MOL004523,Anemarrhenasaponin-I,https://tcmsp-e.com/molecule.php?qn=4523,Anemarrhenasaponin-I,ZNTKLBZCLHHWHW-YKDYZTBWSA-N,CC1C2C(C(C3C2(CCC4C3CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)O)OC1(CCC(C)C)O,Low,No,No,No,No,No,0
58,Anemarrhena Rhizome,知母,MOL004524,Anemarrhenasaponin-I_qt,https://tcmsp-e.com/molecule.php?qn=4524,Anemarrhenasaponin-I_qt,PYGGJUQGHLILCH-JSCHIMIBSA-N,CCC12CC[C@H](C)CC1CC1CC3C4C[C@H]([C@H](C)C(C)(C)O4)C4(CC)CCC2C1C34,Low,Yes,No,Yes,Yes,No,0
59,Anemarrhena Rhizome,知母,MOL004525,Chinoinin,https://tcmsp-e.com/molecule.php?qn=4525,Chinoinin,AEDDIBAIWPIIBD-ZJKJAXBQSA-N,C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=C(C(=C3)O)C4C(C(C(C(O4)CO)O)O)O)O,Low,No,No,No,No,No,0
60,Anemarrhena Rhizome,知母,MOL004526,Neomangiferin,https://tcmsp-e.com/molecule.php?qn=4526,Neomangiferin,VUWOVGXVRYBSGI-DOSSCGNUSA-N,CCC1O[C@@H](C2=C(C)C=C3OC4=C(C=C(OC5OC[C@@H](C)C(C)[C@@H]5O)C(O)=C4)C(=O)C3=C2O)C(C)[C@@H](O)C1O,Low,Yes,No,Yes,Yes,No,0
61,Anemarrhena Rhizome,知母,MOL004527,Isomangiferin,https://tcmsp-e.com/molecule.php?qn=4527,Isomangiferin,CDYBOKJASDEORM-HBVDJMOISA-N,C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=CC(=C3C4C(C(C(C(O4)CO)O)O)O)O)O,Low,No,No,No,No,No,0
62,Anemarrhena Rhizome,知母,MOL004528,Icariin I,https://tcmsp-e.com/molecule.php?qn=4528,Icariin I,TZJALUIVHRYQQB-VILATPRWSA-N,COC1=CC=C(C2=C(O[C@@H]3O[C@H](C)C(C)[C@H](O)C3O)C(=O)C3=C(O)C=C(OC4OC(CO)C(O)C(O)C4O)C(CC=C(C)C)=C3O2)C=C1,Low,Yes,No,Yes,Yes,No,0
63,Anemarrhena Rhizome,知母,MOL004529,Timosaponin A-III,https://tcmsp-e.com/molecule.php?qn=4529,Timosaponin A-III,MMTWXUQMLQGAPC-NSQJXQKASA-N,[H]CC1OC(/O=C2\CC[C@@]3(C)C(CCC4C5COC6(CCC(C)CO6)[C@@H](C)CC5(C)CCC43)C2)C(OC2OC(CC)C(C)C(C)C2O)C(O)C1C,Low,Yes,No,Yes,Yes,No,0
64,Anemarrhena Rhizome,知母,MOL004530,Timosaponin A-III_qt,https://tcmsp-e.com/molecule.php?qn=4530,Timosaponin A-III_qt,GMBQZIIUCVWOCD-JMFACNBWSA-N,C[C@H]1CCC2(CCC3CCC4C5CC[C@@H](C)CC5CCC4C3CO2)OC1,High,Yes,No,Yes,No,No,1
65,Anemarrhena Rhizome,知母,MOL004531,Anemarsaponin B,https://tcmsp-e.com/molecule.php?qn=4531,Anemarsaponin B,ROHLIYKWVMBBFX-QYWAGYFASA-N,CC1=C(OC2C1C3(CCC4C(C3C2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)CCC(C)COC8C(C(C(C(O8)CO)O)O)O,Low,No,No,No,No,No,0
66,Anemarrhena Rhizome,知母,MOL004532,Anemarsaponin B_qt,https://tcmsp-e.com/molecule.php?qn=4532,Anemarsaponin B_qt,IQDKIMJGXXRZGR-YMSQJCPSSA-N,CCC(C)CCC1=C(C)C2CC(CC3C2CCC2C3CCC3C[C@H](O)CC[C@@]32C)O1,Low,Yes,No,Yes,No,No,0
67,Anemarrhena Rhizome,知母,MOL004534,Anemarrhenasaponin-Ia,https://tcmsp-e.com/molecule.php?qn=4534,Anemarrhenasaponin-Ia,IHMGCJXHLUVQOY-DDHKNTIYSA-N,CC1C2C(C(C3C2(CCC4C3CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)O)OC1(CCC(C)C)OC,Low,No,No,No,No,No,0
68,Anemarrhena Rhizome,知母,MOL004535,Anemarrhenasaponin-Ia_qt,https://tcmsp-e.com/molecule.php?qn=4535,Anemarrhenasaponin-Ia_qt,BFCDUWASQMKMDI-OEJDJDILSA-N,CCCCC12C(C3C[C@H]4C(CC)C(OC)O[C@H]4[C@@H]3O)CCC3C[C@@H](C)CCC31[C@@H]2C,High,Yes,No,Yes,No,No,1
69,Anemarrhena Rhizome,知母,MOL004536,Glycerite,https://tcmsp-e.com/molecule.php?qn=4536,Glycerite,JRZFTIQDSKUWFP-MMZRLCIKSA-N,-,-,-,-,-,-,-,-
70,Anemarrhena Rhizome,知母,MOL004537,Anemarsaponin B,https://tcmsp-e.com/molecule.php?qn=4537,Anemarsaponin B,ROHLIYKWVMBBFX-PQQXVFALSA-N,CC1=C(OC2C1C3(CCC4C(C3C2)CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)CCC(C)COC8C(C(C(C(O8)CO)O)O)O,Low,No,No,No,No,No,0
71,Anemarrhena Rhizome,知母,MOL004538,Anemarsaponin B_qt,https://tcmsp-e.com/molecule.php?qn=4538,Anemarsaponin B_qt,IQDKIMJGXXRZGR-JMFGRWCWSA-N,CC1=C(CC[C@H](C)CO)OC2CC1CC1CCC3C(CCC4C[C@@H](C)CC[C@@]43C)C1C2,Low,Yes,No,Yes,No,No,0
72,Anemarrhena Rhizome,知母,MOL004539,Anemarsaponin C,https://tcmsp-e.com/molecule.php?qn=4539,Anemarsaponin C,VAJITJQUTVMPQF-WSMNIBCISA-N,CC1C(C(OC(C1O)OCC(C)CCC2=C(C3C(C2)OC4C3(CCC5C4CCC6C5(CCC(C6)OC7C(C(C(C(O7)CO)O)O)OC8C(C(C(C(O8)CO)O)O)O)C)C)C)CO)O,Low,No,No,No,No,No,0
73,Anemarrhena Rhizome,知母,MOL004540,Anemarsaponin C_qt,https://tcmsp-e.com/molecule.php?qn=4540,Anemarsaponin C_qt,JGGYCPHLJREQIC-WCKHXWGCSA-N,CCC12CC(CC(CC[C@@H](C)CO)=C1C)OC1C3CCC4C[C@@H](C)CCC4(CC)C3CCC12,Low,Yes,No,Yes,No,No,0
74,Anemarrhena Rhizome,知母,MOL004541,Anemarsaponin E,https://tcmsp-e.com/molecule.php?qn=4541,Anemarsaponin E,FDASUPFDHLZNSK-KLPUZSDKSA-N,CC1C2C(CC3C2(CCC4C3CCC5C4(CCC(C5)OC6C(C(C(C(O6)CO)O)O)OC7C(C(C(C(O7)CO)O)O)O)C)C)OC1(CCC(C)COC8C(C(C(C(O8)CO)O)O)O)OC,Low,No,No,No,No,No,0
75,Anemarrhena Rhizome,知母,MOL004542,Anemarsaponin E_qt,https://tcmsp-e.com/molecule.php?qn=4542,Anemarsaponin E_qt,XGSSLVNRUAYTBR-AQHLLXOSSA-N,CCC1C2C(CC3C4CCC5C[C@@H](O)CC[C@]5(C)C4CC[C@@]32C)OC1(CCC[C@H](C)CO)OC,High,Yes,No,Yes,No,No,1
76,Anemarrhena Rhizome,知母,MOL000483,(Z)-3-(4-hydroxy-3-methoxy-phenyl)-N-[2-(4-hydroxyphenyl)ethyl]acrylamide,https://tcmsp-e.com/molecule.php?qn=483,(Z)-3-(4-hydroxy-3-methoxy-phenyl)-N-[2-(4-hydroxyphenyl)ethyl]acrylamide,NPNNKDMSXVRADT-UITAMQMPSA-N,COC1=C(C=CC(=C1)C=CC(=O)NCCC2=CC=C(C=C2)O)O,High,Yes,Yes,Yes,Yes,Yes,1
77,Anemarrhena Rhizome,知母,MOL002003,(-)-Caryophyllene oxide,https://tcmsp-e.com/molecule.php?qn=2003,(-)-Caryophyllene oxide,NVEQFIOZRFFVFW-GUIRCDHDSA-N,CC1(CC2C1CCC3(C(O3)CCC2=C)C)C,High,Yes,Yes,Yes,Yes,No,1
78,Anemarrhena Rhizome,知母,MOL000546,diosgenin,https://tcmsp-e.com/molecule.php?qn=546,diosgenin,WQLVFSAGQJTQCK-VKROHFNGSA-N,CC1CCC2(C(C3C(O2)CC4C3(CCC5C4CC=C6C5(CCC(C6)O)C)C)C)OC1,High,Yes,No,Yes,Yes,No,1
79,Anemarrhena Rhizome,知母,MOL000631,coumaroyltyramine,https://tcmsp-e.com/molecule.php?qn=631,coumaroyltyramine,RXGUTQNKCXHALN-YHYXMXQVSA-N,C1=CC(=CC=C1CCNC(=O)C=CC2=CC=C(C=C2)O)O,High,Yes,Yes,Yes,Yes,Yes,1
80,Anemarrhena Rhizome,知母,MOL000666,hexanal,https://tcmsp-e.com/molecule.php?qn=666,hexanal,JARKCYVAAOWBJS-UHFFFAOYSA-N,CCCCCC=O,High,Yes,No,Yes,Yes,No,1
81,Anemarrhena Rhizome,知母,MOL000721,Nonadienal,https://tcmsp-e.com/molecule.php?qn=721,Nonadienal,ZHHYXNZJDGDGPJ-BSWSSELBSA-N,CCCCC=CC=CC=O,High,Yes,No,Yes,Yes,No,1
1,Figwort Root,玄参,MOL000114,vanillic acid,https://tcmsp-e.com/molecule.php?qn=114,vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C(=O)O)O,High,Yes,Yes,Yes,Yes,No,1
2,Figwort Root,玄参,MOL001301,cis-Zimtsaeure,https://tcmsp-e.com/molecule.php?qn=1301,cis-Zimtsaeure,WBYWAXJHAXSJNI-SREVYHEPSA-N,C1=CC=C(C=C1)C=CC(=O)O,High,Yes,No,Yes,Yes,No,1
3,Figwort Root,玄参,MOL000141,hydroxytyrosol,https://tcmsp-e.com/molecule.php?qn=141,hydroxytyrosol,JUUBCHWRXWPFFH-UHFFFAOYSA-N,C1=CC(=C(C=C1CCO)O)O,High,Yes,No,Yes,Yes,No,1
4,Figwort Root,玄参,MOL003333,acteoside,https://tcmsp-e.com/molecule.php?qn=3333,acteoside,FBSKJMQYURKNSU-ZLSOWSIRSA-N,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)O)CO)OCCC4=CC(=C(C=C4)O)O)O)O)O)O,Low,No,No,No,No,No,0
5,Figwort Root,玄参,MOL000156,decaffeoylacteoside,https://tcmsp-e.com/molecule.php?qn=156,decaffeoylacteoside,DORPKYRPJIIARM-JJSLLGLOSA-N,CC1C(C(C(C(O1)OC2C(C(OC(C2O)OCCC3=CC(=C(C=C3)O)O)CO)O)O)O)O,Low,No,No,No,No,No,0
6,Figwort Root,玄参,MOL001660,p-MCA,https://tcmsp-e.com/molecule.php?qn=1660,p-MCA,AFDXODALSZRGIH-QPJJXVBHSA-N,COC1=CC=C(C=C1)C=CC(=O)O,High,Yes,Yes,Yes,Yes,No,1
7,Figwort Root,玄参,MOL001925,paeoniflorin_qt,https://tcmsp-e.com/molecule.php?qn=1925,paeoniflorin_qt,GWQHMWOOQLVRLG-JGAAPJFWSA-N,CC12CC3(C4CC1(C4(C(O2)O3)COC(=O)C5=CC=CC=C5)O)O,High,Yes,Yes,Yes,Yes,Yes,1
8,Figwort Root,玄参,MOL002222,sugiol,https://tcmsp-e.com/molecule.php?qn=2222,sugiol,IPEHJNRNYPOFII-ICSRJNTNSA-N,CC(C)C1=C(C=C2C(=C1)C(=O)CC3C2(CCCC3(C)C)C)O,High,Yes,Yes,Yes,Yes,No,1
9,Figwort Root,玄参,MOL000223,caffeic acid,https://tcmsp-e.com/molecule.php?qn=223,caffeic acid,QAIPRVGONGVQAS-DUXPYHPUSA-N,C1=CC(=C(C=C1C=CC(=O)O)O)O,High,Yes,Yes,Yes,Yes,No,1
10,Figwort Root,玄参,MOL002295,cinnamic acid,https://tcmsp-e.com/molecule.php?qn=2295,cinnamic acid,WBYWAXJHAXSJNI-VOTSOKGWSA-N,C1=CC=C(C=C1)C=CC(=O)O,High,Yes,No,Yes,Yes,No,1
11,Figwort Root,玄参,MOL002820,catapol_qt,https://tcmsp-e.com/molecule.php?qn=2820,catapol_qt,HTTAAXWEOBHFIW-NTXXKDEISA-N,OCC12O[C@H]1[C@@H](O)C1C=COC(O)C12,High,Yes,No,Yes,Yes,Yes,1
12,Figwort Root,玄参,MOL002922,5-(2-hydroxyethyl)-2-methoxyphenol,https://tcmsp-e.com/molecule.php?qn=2922,5-(2-hydroxyethyl)-2-methoxyphenol,PPUFZEKAOXNVLU-UHFFFAOYSA-N,COC1=C(C=C(C=C1)CCO)O,High,Yes,Yes,Yes,Yes,No,1
13,Figwort Root,玄参,MOL000346,succinic acid,https://tcmsp-e.com/molecule.php?qn=346,succinic acid,KDYFGRWQOYBRFD-UHFFFAOYSA-N,[H+].[H+].C(CC(=O)[O-])C(=O)[O-],Low,Yes,No,Yes,Yes,No,0
14,Figwort Root,玄参,MOL000356,lupeol,https://tcmsp-e.com/molecule.php?qn=356,lupeol,MQYXUWHLBZFQQO-QGTGJCAVSA-N,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,Low,Yes,No,Yes,No,No,0
15,Figwort Root,玄参,MOL000357,Sitogluside,https://tcmsp-e.com/molecule.php?qn=357,Sitogluside,NPJICTMALKLTFW-OFUAXYCQSA-N,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)OC5C(C(C(C(O5)CO)O)O)O)C)C)C(C)C,Low,Yes,No,Yes,Yes,No,0
16,Figwort Root,玄参,MOL000358,beta-sitosterol,https://tcmsp-e.com/molecule.php?qn=358,beta-sitosterol,KZJWDPNRJALLNS-VJSFXXLFSA-N,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,Low,Yes,No,Yes,No,No,0
17,Figwort Root,玄参,MOL000359,sitosterol,https://tcmsp-e.com/molecule.php?qn=359,sitosterol,KZJWDPNRJALLNS-ZFVHJZABSA-N,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,Low,Yes,No,Yes,No,No,0
18,Figwort Root,玄参,MOL000360,FER,https://tcmsp-e.com/molecule.php?qn=360,FER,KSEBMYQBYZTDHS-HWKANZROSA-N,COC1=C(C=CC(=C1)C=CC(=O)O)O,High,Yes,Yes,Yes,Yes,No,1
19,Figwort Root,玄参,MOL003735,aucubin,https://tcmsp-e.com/molecule.php?qn=3735,aucubin,RJWJHRPNHPHBRN-FKVJWERZSA-N,C1=COC(C2C1C(C=C2CO)O)OC3C(C(C(C(O3)CO)O)O)O,Low,Yes,No,No,No,No,0
20,Figwort Root,玄参,MOL000389,FERULIC ACID (CIS),https://tcmsp-e.com/molecule.php?qn=389,FERULIC ACID (CIS),KSEBMYQBYZTDHS-HYXAFXHYSA-N,COC1=C(C=CC(=C1)C=CC(=O)O)O,High,Yes,Yes,Yes,Yes,No,1
21,Figwort Root,玄参,MOL000429,Crystal VI,https://tcmsp-e.com/molecule.php?qn=429,Crystal VI,DCXYFEDJOCDNAF-REOHCLBHSA-N,C(C(C(=O)[O-])[NH3+])C(=O)N,Low,Yes,No,Yes,Yes,No,0
22,Figwort Root,玄参,MOL000511,ursolic acid,https://tcmsp-e.com/molecule.php?qn=511,ursolic acid,WCGUUGGRBIKTOS-GPOJBZKASA-N,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,Low,Yes,No,Yes,No,No,0
23,Figwort Root,玄参,MOL006670,aucubigenin,https://tcmsp-e.com/molecule.php?qn=6670,aucubigenin,BACWCXKATFIVFS-JQCXWYLXSA-N,C1=COC(C2C1C(C=C2CO)O)O,High,Yes,No,Yes,Yes,No,1
24,Figwort Root,玄参,MOL000675,oleic acid,https://tcmsp-e.com/molecule.php?qn=675,oleic acid,ZQPPMHVWECSIRJ-KTKRTIGZSA-N,CCCCCCCCC=CCCCCCCCC(=O)O,High,Yes,No,No,No,No,0
25,Figwort Root,玄参,MOL007002,paeonioflorin,https://tcmsp-e.com/molecule.php?qn=7002,paeonioflorin,YKRGDOXKVOZESV-QVMPQSNJSA-N,CC12CC3(C4CC1(C4(C(O2)O3)COC(=O)C5=CC=CC=C5)OC6C(C(C(C(O6)CO)O)O)O)O,Low,Yes,No,No,No,No,0
26,Figwort Root,玄参,MOL007272,Homovanillyl alcohol,https://tcmsp-e.com/molecule.php?qn=7272,Homovanillyl alcohol,XHUBSJRBOQIZNI-UHFFFAOYSA-N,COC1=C(C=CC(=C1)CCO)O,High,Yes,Yes,Yes,Yes,No,1
27,Figwort Root,玄参,MOL000748,HMF,https://tcmsp-e.com/molecule.php?qn=748,HMF,NOEGNKMFWQHSLB-UHFFFAOYSA-N,C1=C(OC(=C1)C=O)CO,High,Yes,No,Yes,Yes,No,1
28,Figwort Root,玄参,MOL007655,angroside C,https://tcmsp-e.com/molecule.php?qn=7655,angroside C,KLQXMRBGMLHBBQ-VYBHWCLHSA-N,CC1C(C(C(C(O1)OC2C(C(OC(C2OC(=O)C=CC3=CC(=C(C=C3)O)OC)COC4C(C(C(CO4)O)O)O)OCCC5=CC(=C(C=C5)OC)O)O)O)O)O,Low,No,No,No,No,No,0
