ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0071216	cellular response to biotic stimulus	10/153	261/18903	5.39259891104262e-05	0.00127348297360776	0.0010364924425172	CMPK2/CXCL10/CCL2/CHMP5/ABCA1/NOD2/TLR2/JAK2/MYD88/CD6	10
BP	GO:1900246	positive regulation of RIG-I signaling pathway	3/153	10/18903	5.98466454679713e-05	0.00139984153589845	0.00113933613778123	OASL/DDX60/DHX58	3
BP	GO:0039529	RIG-I signaling pathway	4/153	27/18903	6.26397781197483e-05	0.00145135184020851	0.00118126056255613	OASL/DDX60/OAS3/DHX58	4
BP	GO:0002224	toll-like receptor signaling pathway	7/153	123/18903	6.42871482431907e-05	0.00147560033724557	0.00120099650284131	RSAD2/OAS1/IFI35/IRF7/NOD2/TLR2/MYD88	7
BP	GO:0016064	immunoglobulin mediated immune response	9/153	215/18903	6.52550553938274e-05	0.0014839482967337	0.00120779093755242	FCGR1A/SERPING1/IRF7/NOD2/MYD88/HLA-DOB/FCER2/HLA-DQB1/CD19	9
BP	GO:0042742	defense response to bacterium	12/153	382/18903	6.67572825782109e-05	0.00150418244047785	0.00122425958103353	ISG15/OAS1/OAS2/OAS3/FCGR1A/MPO/HP/CLEC4D/NOD2/TLR2/MYD88/GNLY	12
BP	GO:0019724	B cell mediated immunity	9/153	218/18903	7.25930371085562e-05	0.00160682577467308	0.00130780136555125	FCGR1A/SERPING1/IRF7/NOD2/MYD88/HLA-DOB/FCER2/HLA-DQB1/CD19	9
BP	GO:1900017	positive regulation of cytokine production involved in inflammatory response	4/153	28/18903	7.26211974709739e-05	0.00160682577467308	0.00130780136555125	GBP5/NOD2/MYD88/CD6	4
BP	GO:0002688	regulation of leukocyte chemotaxis	7/153	127/18903	7.87312643390434e-05	0.00172646415372045	0.00140517547913387	CXCL10/CCR1/CCL2/LGALS9/NOD2/C3AR1/TNFAIP6	7
BP	GO:0032612	interleukin-1 production	7/153	130/18903	9.12173227685516e-05	0.00194808473669185	0.00158555328089226	IFI16/CEACAM1/GBP5/LGALS9/NOD2/JAK2/MYD88	7
BP	GO:0032652	regulation of interleukin-1 production	7/153	130/18903	9.12173227685516e-05	0.00194808473669185	0.00158555328089226	IFI16/CEACAM1/GBP5/LGALS9/NOD2/JAK2/MYD88	7
BP	GO:1990266	neutrophil migration	7/153	130/18903	9.12173227685516e-05	0.00194808473669185	0.00158555328089226	CXCL10/CCL2/CCL8/NOD2/C3AR1/TNFAIP6/MYD88	7
BP	GO:0002706	regulation of lymphocyte mediated immunity	8/153	179/18903	0.000106451325680742	0.0022538315161371	0.00183440170115907	RSAD2/FCGR1A/CEACAM1/LGALS9/NOD2/SH2D1B/FCER2/KLRB1	8
BP	GO:0002685	regulation of leukocyte migration	9/153	231/18903	0.000112938531733449	0.00237074387980642	0.00192955710087108	CXCL10/CCR1/CCL2/CCL8/LGALS9/NOD2/C3AR1/TNFAIP6/MYD88	9
BP	GO:0030099	myeloid cell differentiation	12/153	407/18903	0.000121494631883414	0.0025287357280141	0.00205814724305622	ISG15/CCR1/BATF2/IFI16/STAT1/CEACAM1/IRF7/TLR2/MAFB/TNFAIP6/JAK2/KLF13	12
BP	GO:0070661	leukocyte proliferation	11/153	348/18903	0.000128014957838325	0.00264205660883131	0.0021503795217601	CCL8/TNFSF13B/LGALS9/CD38/BST2/JAK2/MYD88/CD6/CD79A/BLK/CD19	11
BP	GO:0032621	interleukin-18 production	3/153	13/18903	0.000140109822010658	0.00284388200709236	0.00231464595039791	GBP5/NOD2/TLR2	3
BP	GO:0032661	regulation of interleukin-18 production	3/153	13/18903	0.000140109822010658	0.00284388200709236	0.00231464595039791	GBP5/NOD2/TLR2	3
BP	GO:0032757	positive regulation of interleukin-8 production	5/153	63/18903	0.000156681430127392	0.00315417698682684	0.0025671961674885	FFAR2/LGALS9/NOD2/TLR2/MYD88	5
BP	GO:0009620	response to fungus	5/153	67/18903	0.000209764937188418	0.00415469907850609	0.00338152475144997	ZBP1/MPO/CLEC4D/MYD88/GNLY	5
BP	GO:1901224	positive regulation of NIK/NF-kappaB signaling	5/153	67/18903	0.000209764937188418	0.00415469907850609	0.00338152475144997	EIF2AK2/IFI35/LGALS9/NOD2/TLR2	5
BP	GO:0002819	regulation of adaptive immune response	8/153	198/18903	0.000212994301706075	0.00418491203992096	0.0034061151910723	RSAD2/FCGR1A/TNFSF13B/CEACAM1/IRF7/NOD2/JAK2/FCER2	8
BP	GO:0060330	regulation of response to interferon-gamma	3/153	15/18903	0.000220266259327676	0.00421448414509258	0.00343018403545809	PARP9/PARP14/CDC37	3
BP	GO:0060334	regulation of interferon-gamma-mediated signaling pathway	3/153	15/18903	0.000220266259327676	0.00421448414509258	0.00343018403545809	PARP9/PARP14/CDC37	3
BP	GO:0006471	protein ADP-ribosylation	4/153	37/18903	0.000221363377327746	0.00421448414509258	0.00343018403545809	PARP9/PARP12/PARP14/PARP10	4
BP	GO:0071276	cellular response to cadmium ion	4/153	37/18903	0.000221363377327746	0.00421448414509258	0.00343018403545809	MT2A/MT1A/HESX1/CYBB	4
BP	GO:0030593	neutrophil chemotaxis	6/153	106/18903	0.000223393694770316	0.00422042241812227	0.00343501721756137	CXCL10/CCL2/CCL8/NOD2/C3AR1/TNFAIP6	6
BP	GO:0051092	positive regulation of NF-kappaB transcription factor activity	7/153	154/18903	0.000260842261840129	0.00489029461892639	0.00398022864792611	EIF2AK2/TRIM22/LGALS9/NOD2/TLR2/MYD88/TRIM21	7
BP	GO:0060326	cell chemotaxis	10/153	319/18903	0.000278143854731376	0.0051751614183353	0.00421208277619524	CXCL10/CCR1/CCL2/CCL8/FFAR2/LGALS9/NOD2/C3AR1/TNFAIP6/CXCR5	10
BP	GO:0032611	interleukin-1 beta production	6/153	111/18903	0.000286858109497018	0.00521869271796057	0.00424751305992076	IFI16/GBP5/LGALS9/NOD2/JAK2/MYD88	6
BP	GO:0032651	regulation of interleukin-1 beta production	6/153	111/18903	0.000286858109497018	0.00521869271796057	0.00424751305992076	IFI16/GBP5/LGALS9/NOD2/JAK2/MYD88	6
BP	GO:0071347	cellular response to interleukin-1	6/153	111/18903	0.000286858109497018	0.00521869271796057	0.00424751305992076	GBP1/ZBP1/CCL2/CCL8/IL1RN/MYD88	6
BP	GO:0002478	antigen processing and presentation of exogenous peptide antigen	4/153	40/18903	0.000300597142132111	0.0054284307432093	0.00441821960455788	FCGR1A/TAP1/HLA-DOB/HLA-DQB1	4
BP	GO:0097530	granulocyte migration	7/153	158/18903	0.000304942762671836	0.00546671113227759	0.00444937615300666	CXCL10/CCL2/CCL8/NOD2/C3AR1/TNFAIP6/MYD88	7
BP	GO:0032733	positive regulation of interleukin-10 production	4/153	41/18903	0.000331010463670733	0.00581080370720899	0.00472943435624459	ISG15/LGALS9/NOD2/TLR2	4
BP	GO:0002526	acute inflammatory response	6/153	114/18903	0.000331234739010284	0.00581080370720899	0.00472943435624459	FCGR1A/PLSCR1/HP/FFAR2/CD163/CD6	6
BP	GO:0002824	positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	6/153	114/18903	0.000331234739010284	0.00581080370720899	0.00472943435624459	RSAD2/FCGR1A/TNFSF13B/NOD2/JAK2/FCER2	6
BP	GO:0070663	regulation of leukocyte proliferation	9/153	269/18903	0.00035092060784534	0.00611248945296564	0.00497497748636283	CCL8/TNFSF13B/LGALS9/CD38/BST2/JAK2/MYD88/CD6/BLK	9
BP	GO:0045637	regulation of myeloid cell differentiation	8/153	214/18903	0.00035972937160011	0.00622179814542162	0.00506394423030844	ISG15/CCR1/STAT1/CEACAM1/IRF7/MAFB/TNFAIP6/KLF13	8
BP	GO:0072567	chemokine (C-X-C motif) ligand 2 production	3/153	18/18903	0.000388047493951553	0.00661836559128482	0.00538671192261695	OAS1/OAS3/MYD88	3
BP	GO:2000341	regulation of chemokine (C-X-C motif) ligand 2 production	3/153	18/18903	0.000388047493951553	0.00661836559128482	0.00538671192261695	OAS1/OAS3/MYD88	3
BP	GO:0034121	regulation of toll-like receptor signaling pathway	5/153	77/18903	0.000402209986543861	0.00680036062517264	0.00553483834527809	RSAD2/IFI35/IRF7/NOD2/TLR2	5
BP	GO:0050900	leukocyte migration	11/153	398/18903	0.000405371174164064	0.00680036062517264	0.00553483834527809	CXCL10/CCR1/CCL2/CCL8/FFAR2/LGALS9/NOD2/C3AR1/TNFAIP6/MYD88/CXCR5	11
BP	GO:0002573	myeloid leukocyte differentiation	8/153	218/18903	0.000407024841978981	0.00680036062517264	0.00553483834527809	CCR1/BATF2/IFI16/CEACAM1/IRF7/TLR2/MAFB/TNFAIP6	8
BP	GO:0070665	positive regulation of leukocyte proliferation	7/153	167/18903	0.000426204724232945	0.00707269461294671	0.00575649197239234	TNFSF13B/LGALS9/CD38/BST2/JAK2/MYD88/CD6	7
BP	GO:0002821	positive regulation of adaptive immune response	6/153	120/18903	0.000436028819907182	0.0071871596086714	0.0058496554503973	RSAD2/FCGR1A/TNFSF13B/NOD2/JAK2/FCER2	6
BP	GO:1903131	mononuclear cell differentiation	12/153	473/18903	0.000478471667365711	0.00783417610033457	0.00637626453563147	RSAD2/BATF2/TNFSF13B/IFI16/IRF7/LGALS9/CLEC4D/MAFB/CD79A/BLK/CD79B/CD19	12
BP	GO:0039535	regulation of RIG-I signaling pathway	3/153	20/18903	0.000535726449645103	0.00865621158110772	0.00704532221520811	OASL/DDX60/DHX58	3
BP	GO:1900225	regulation of NLRP3 inflammasome complex assembly	3/153	20/18903	0.000535726449645103	0.00865621158110772	0.00704532221520811	EIF2AK2/GBP5/MYD88	3
BP	GO:0045646	regulation of erythrocyte differentiation	4/153	47/18903	0.000561477929177652	0.00895447918220983	0.0072880833049102	ISG15/STAT1/MAFB/KLF13	4
BP	GO:1902622	regulation of neutrophil migration	4/153	47/18903	0.000561477929177652	0.00895447918220983	0.0072880833049102	NOD2/C3AR1/TNFAIP6/MYD88	4
BP	GO:0002366	leukocyte activation involved in immune response	9/153	293/18903	0.000650198684967588	0.0103025030340671	0.00838524484043089	IFI35/CEACAM1/LGALS9/CLEC4D/MYD88/SH2D1B/PTGDS/BLK/CD19	9
BP	GO:0019884	antigen processing and presentation of exogenous antigen	4/153	49/18903	0.000658664267921385	0.0103697400129162	0.00843996926304123	FCGR1A/TAP1/HLA-DOB/HLA-DQB1	4
BP	GO:0071621	granulocyte chemotaxis	6/153	130/18903	0.000666351126873773	0.0104239386471464	0.00848408172935498	CXCL10/CCL2/CCL8/NOD2/C3AR1/TNFAIP6	6
BP	GO:0002822	regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	7/153	182/18903	0.000711342539130693	0.0109231010793987	0.00889035185572525	RSAD2/FCGR1A/TNFSF13B/CEACAM1/NOD2/JAK2/FCER2	7
BP	GO:0044546	NLRP3 inflammasome complex assembly	3/153	22/18903	0.000715165056158736	0.0109231010793987	0.00889035185572525	EIF2AK2/GBP5/MYD88	3
BP	GO:0046597	negative regulation of viral entry into host cell	3/153	22/18903	0.000715165056158736	0.0109231010793987	0.00889035185572525	IFITM3/LY6E/IFITM1	3
BP	GO:0002263	cell activation involved in immune response	9/153	297/18903	0.000716050192908466	0.0109231010793987	0.00889035185572525	IFI35/CEACAM1/LGALS9/CLEC4D/MYD88/SH2D1B/PTGDS/BLK/CD19	9
BP	GO:0002715	regulation of natural killer cell mediated immunity	4/153	51/18903	0.000767203399276981	0.0116311823989152	0.00946666182733585	CEACAM1/LGALS9/SH2D1B/KLRB1	4
BP	GO:0097529	myeloid leukocyte migration	8/153	242/18903	0.000808405299269528	0.0121806344478893	0.00991386285639543	CXCL10/CCR1/CCL2/CCL8/NOD2/C3AR1/TNFAIP6/MYD88	8
BP	GO:0032727	positive regulation of interferon-alpha production	3/153	23/18903	0.000817578053511877	0.0122201026093053	0.00994598613709533	IFIH1/STAT1/IRF7	3
BP	GO:0070098	chemokine-mediated signaling pathway	5/153	90/18903	0.000822514704165219	0.0122201026093053	0.00994598613709533	CXCL10/CCR1/CCL2/CCL8/CXCR5	5
BP	GO:0006968	cellular defense response	4/153	52/18903	0.000825951560726663	0.0122201026093053	0.00994598613709533	LGALS3BP/CD300C/FCMR/GNLY	4
BP	GO:0046651	lymphocyte proliferation	9/153	305/18903	0.000864130037490754	0.0127084034256125	0.0103434159545852	TNFSF13B/LGALS9/CD38/JAK2/MYD88/CD6/CD79A/BLK/CD19	9
BP	GO:0001906	cell killing	7/153	189/18903	0.000887906641183159	0.0129803494687252	0.0105647538321229	FCGR1A/CEACAM1/LGALS9/MYD88/GNLY/FCER2/KLRB1	7
BP	GO:0002755	MyD88-dependent toll-like receptor signaling pathway	3/153	24/18903	0.0009288535154009	0.0132631641501431	0.0107949377340655	IRF7/TLR2/MYD88	3
BP	GO:0035458	cellular response to interferon-beta	3/153	24/18903	0.0009288535154009	0.0132631641501431	0.0107949377340655	OAS1/IFI16/STAT1	3
BP	GO:0039531	regulation of viral-induced cytoplasmic pattern recognition receptor signaling pathway	3/153	24/18903	0.0009288535154009	0.0132631641501431	0.0107949377340655	OASL/DDX60/DHX58	3
BP	GO:0140632	inflammasome complex assembly	3/153	24/18903	0.0009288535154009	0.0132631641501431	0.0107949377340655	EIF2AK2/GBP5/MYD88	3
BP	GO:0032943	mononuclear cell proliferation	9/153	312/18903	0.00101332195827659	0.0143856573961116	0.0117085390858974	TNFSF13B/LGALS9/CD38/JAK2/MYD88/CD6/CD79A/BLK/CD19	9
BP	GO:0050870	positive regulation of T cell activation	8/153	251/18903	0.00102310699172761	0.0144410963889828	0.0117536610846384	CCL2/TNFSF13B/LGALS9/NOD2/JAK2/CD6/HLA-DOB/HLA-DQB1	8
BP	GO:0050851	antigen receptor-mediated signaling pathway	8/153	252/18903	0.00104953738152531	0.0147295074801495	0.0119883999249117	GBP1/CEACAM1/CD38/CD79A/BLK/HLA-DQB1/CD79B/CD19	8
BP	GO:0050832	defense response to fungus	4/153	56/18903	0.00109287319187403	0.0151481365481512	0.0123291236520397	ZBP1/MPO/CLEC4D/GNLY	4
BP	GO:0002275	myeloid cell activation involved in immune response	5/153	96/18903	0.00110046224785694	0.0151481365481512	0.0123291236520397	IFI35/LGALS9/MYD88/PTGDS/BLK	5
BP	GO:1903321	negative regulation of protein modification by small protein conjugation or removal	5/153	96/18903	0.00110046224785694	0.0151481365481512	0.0123291236520397	ISG15/DTX3L/CDC20/TRIM21/PARP10	5
BP	GO:0015833	peptide transport	8/153	254/18903	0.00110403763929929	0.0151481365481512	0.0123291236520397	FFAR2/ABCA1/IL1RN/CD38/TAP1/JAK2/PASK/BLK	8
BP	GO:0002696	positive regulation of leukocyte activation	11/153	450/18903	0.0011122941520249	0.0151766357631842	0.0123523192672239	CCL2/TNFSF13B/LGALS9/CD38/CLEC4D/NOD2/JAK2/MYD88/CD6/HLA-DOB/HLA-DQB1	11
BP	GO:0009435	NAD biosynthetic process	3/153	26/18903	0.00117913916581596	0.015999811001348	0.0130223045995028	PARP9/KYNU/PARP10	3
BP	GO:1990868	response to chemokine	5/153	98/18903	0.00120696964297767	0.0161984559735145	0.0131839824677285	CXCL10/CCR1/CCL2/CCL8/CXCR5	5
BP	GO:1990869	cellular response to chemokine	5/153	98/18903	0.00120696964297767	0.0161984559735145	0.0131839824677285	CXCL10/CCR1/CCL2/CCL8/CXCR5	5
BP	GO:0050671	positive regulation of lymphocyte proliferation	6/153	146/18903	0.00121892321586273	0.0162699750986895	0.0132421921448703	TNFSF13B/LGALS9/CD38/JAK2/MYD88/CD6	6
BP	GO:0001961	positive regulation of cytokine-mediated signaling pathway	4/153	58/18903	0.00124673519390022	0.0165512520876699	0.013471124513323	PARP9/ZBP1/PARP14/IRF7	4
BP	GO:0032755	positive regulation of interleukin-6 production	5/153	99/18903	0.00126299461556197	0.0166769611603237	0.0135734395865998	IFIH1/LGALS9/NOD2/TLR2/MYD88	5
BP	GO:0032682	negative regulation of chemokine production	3/153	27/18903	0.00131870158927799	0.0172272931024827	0.0140213567639356	OAS1/OAS3/LGALS9	3
BP	GO:0032740	positive regulation of interleukin-17 production	3/153	27/18903	0.00131870158927799	0.0172272931024827	0.0140213567639356	NOD2/JAK2/MYD88	3
BP	GO:0032946	positive regulation of mononuclear cell proliferation	6/153	149/18903	0.00135305677602936	0.0175825790578206	0.0143105253003606	TNFSF13B/LGALS9/CD38/JAK2/MYD88/CD6	6
BP	GO:0046686	response to cadmium ion	4/153	60/18903	0.00141514411943568	0.0182925997754422	0.0148884137551709	MT2A/MT1A/HESX1/CYBB	4
BP	GO:0019359	nicotinamide nucleotide biosynthetic process	3/153	28/18903	0.00146823123629483	0.0187418116977985	0.0152540289791357	PARP9/KYNU/PARP10	3
BP	GO:0019363	pyridine nucleotide biosynthetic process	3/153	28/18903	0.00146823123629483	0.0187418116977985	0.0152540289791357	PARP9/KYNU/PARP10	3
BP	GO:0030522	intracellular receptor signaling pathway	8/153	266/18903	0.00148041997938637	0.0187418116977985	0.0152540289791357	OASL/DDX60/OAS3/IFIH1/DHX58/IRF7/NOD2/JAK2	8
BP	GO:0051091	positive regulation of DNA-binding transcription factor activity	8/153	266/18903	0.00148041997938637	0.0187418116977985	0.0152540289791357	EIF2AK2/TRIM22/LGALS9/NOD2/TLR2/JAK2/MYD88/TRIM21	8
BP	GO:0050867	positive regulation of cell activation	11/153	467/18903	0.00149488879816739	0.0187813099544611	0.0152861767544667	CCL2/TNFSF13B/LGALS9/CD38/CLEC4D/NOD2/JAK2/MYD88/CD6/HLA-DOB/HLA-DQB1	11
BP	GO:0032677	regulation of interleukin-8 production	5/153	103/18903	0.00150648129520718	0.0187813099544611	0.0152861767544667	FFAR2/LGALS9/NOD2/TLR2/MYD88	5
BP	GO:0050764	regulation of phagocytosis	5/153	103/18903	0.00150648129520718	0.0187813099544611	0.0152861767544667	FCGR1A/PLSCR1/CCL2/NOD2/TLR2	5
BP	GO:0032637	interleukin-8 production	5/153	104/18903	0.0015723967715599	0.0194025683615083	0.0157918212405727	FFAR2/LGALS9/NOD2/TLR2/MYD88	5
BP	GO:0042100	B cell proliferation	5/153	104/18903	0.0015723967715599	0.0194025683615083	0.0157918212405727	TNFSF13B/CD38/CD79A/BLK/CD19	5
BP	GO:0051251	positive regulation of lymphocyte activation	10/153	400/18903	0.00158001371022054	0.0194025683615083	0.0157918212405727	CCL2/TNFSF13B/LGALS9/CD38/NOD2/JAK2/MYD88/CD6/HLA-DOB/HLA-DQB1	10
BP	GO:0050729	positive regulation of inflammatory response	6/153	154/18903	0.00160133173226737	0.0195665210669088	0.015925262946194	FCGR1A/ZBP1/IFI35/FFAR2/TLR2/JAK2	6
BP	GO:0032607	interferon-alpha production	3/153	29/18903	0.00162798343992382	0.019599643766926	0.0159522216326901	IFIH1/STAT1/IRF7	3
BP	GO:0032647	regulation of interferon-alpha production	3/153	29/18903	0.00162798343992382	0.019599643766926	0.0159522216326901	IFIH1/STAT1/IRF7	3
BP	GO:0034123	positive regulation of toll-like receptor signaling pathway	3/153	29/18903	0.00162798343992382	0.019599643766926	0.0159522216326901	RSAD2/IFI35/TLR2	3
BP	GO:0031663	lipopolysaccharide-mediated signaling pathway	4/153	63/18903	0.00169657783474553	0.0203258300591952	0.0165432673077369	CCL2/TLR2/MYD88/CD6	4
BP	GO:0002444	myeloid leukocyte mediated immunity	5/153	107/18903	0.001782884700164	0.0210330166330234	0.0171188490425645	FCGR1A/LGALS9/MYD88/PTGDS/BLK	5
BP	GO:0070498	interleukin-1-mediated signaling pathway	3/153	30/18903	0.00179820547290223	0.0210330166330234	0.0171188490425645	ZBP1/IL1RN/MYD88	3
BP	GO:0090330	regulation of platelet aggregation	3/153	30/18903	0.00179820547290223	0.0210330166330234	0.0171188490425645	CEACAM1/JAK2/BLK	3
BP	GO:0048002	antigen processing and presentation of peptide antigen	4/153	64/18903	0.00179842568930575	0.0210330166330234	0.0171188490425645	FCGR1A/TAP1/HLA-DOB/HLA-DQB1	4
BP	GO:0048524	positive regulation of viral process	4/153	64/18903	0.00179842568930575	0.0210330166330234	0.0171188490425645	IFIT1/LGALS9/TOP2A/TRIM21	4
BP	GO:1903039	positive regulation of leukocyte cell-cell adhesion	8/153	275/18903	0.00182452521533292	0.0212371276249177	0.0172849757242066	CCL2/TNFSF13B/LGALS9/NOD2/JAK2/CD6/HLA-DOB/HLA-DQB1	8
BP	GO:0019882	antigen processing and presentation	5/153	108/18903	0.00185742811824112	0.0215181295207556	0.017513684193346	FCGR1A/TAP1/NOD2/HLA-DOB/HLA-DQB1	5
BP	GO:0032613	interleukin-10 production	4/153	65/18903	0.00190443731126434	0.0218565328806786	0.0177891119237136	ISG15/LGALS9/NOD2/TLR2	4
BP	GO:0032653	regulation of interleukin-10 production	4/153	65/18903	0.00190443731126434	0.0218565328806786	0.0177891119237136	ISG15/LGALS9/NOD2/TLR2	4
BP	GO:0002230	positive regulation of defense response to virus by host	3/153	31/18903	0.00197913668548794	0.0225035171275851	0.0183156947648226	PARP9/STAT1/DTX3L	3
BP	GO:0072525	pyridine-containing compound biosynthetic process	3/153	31/18903	0.00197913668548794	0.0225035171275851	0.0183156947648226	PARP9/KYNU/PARP10	3
BP	GO:0050854	regulation of antigen receptor-mediated signaling pathway	4/153	66/18903	0.0020146994514314	0.022802312685325	0.0185588855603601	GBP1/CEACAM1/BLK/CD19	4
BP	GO:0050727	regulation of inflammatory response	10/153	414/18903	0.00203320914072072	0.0229062460991288	0.0186434773453821	USP18/FCGR1A/ZBP1/IFI35/FFAR2/NOD2/TLR2/TNFAIP6/JAK2/MYD88	10
BP	GO:1901222	regulation of NIK/NF-kappaB signaling	5/153	111/18903	0.0020947651010755	0.0234919775718787	0.0191202063299321	EIF2AK2/IFI35/LGALS9/NOD2/TLR2	5
BP	GO:0045576	mast cell activation	4/153	67/18903	0.00212929846820874	0.0237707138087303	0.0193470707709492	PLSCR1/LGALS9/PTGDS/BLK	4
BP	GO:0022407	regulation of cell-cell adhesion	11/153	490/18903	0.00217841043943364	0.0242089413540679	0.0197037457703476	CCL2/TNFSF13B/CEACAM1/IL1RN/LGALS9/NOD2/JAK2/CD6/BLK/HLA-DOB/HLA-DQB1	11
BP	GO:0042113	B cell activation	9/153	350/18903	0.00222995308872558	0.0246701116482433	0.0200790939568036	TNFSF13B/CD38/BST2/NOD2/CXCR5/CD79A/BLK/CD79B/CD19	9
BP	GO:0002704	negative regulation of leukocyte mediated immunity	4/153	68/18903	0.00224832029839487	0.0247617697437569	0.0201536948154442	CEACAM1/LGALS9/BST2/NOD2	4
BP	GO:0090022	regulation of neutrophil chemotaxis	3/153	34/18903	0.0025884629087099	0.0283806468919264	0.0230991121411659	NOD2/C3AR1/TNFAIP6	3
BP	GO:0002548	monocyte chemotaxis	4/153	71/18903	0.00263277512463923	0.0287382031382842	0.0233901284757422	CXCL10/CCR1/CCL2/CCL8	4
BP	GO:0002790	peptide secretion	7/153	230/18903	0.00272349157319608	0.0294474509233593	0.0239673878379304	FFAR2/ABCA1/IL1RN/CD38/JAK2/PASK/BLK	7
BP	GO:0050920	regulation of chemotaxis	7/153	230/18903	0.00272349157319608	0.0294474509233593	0.0239673878379304	CXCL10/CCR1/CCL2/LGALS9/NOD2/C3AR1/TNFAIP6	7
BP	GO:0002718	regulation of cytokine production involved in immune response	5/153	118/18903	0.00273372101405778	0.0294474509233593	0.0239673878379304	RSAD2/FFAR2/BST2/NOD2/MYD88	5
BP	GO:0007259	receptor signaling pathway via JAK-STAT	6/153	172/18903	0.00279040784302988	0.0295848063942461	0.0240791819572576	PARP9/CCL2/PARP14/STAT1/STAT2/JAK2	6
BP	GO:0034356	NAD biosynthesis via nicotinamide riboside salvage pathway	2/153	10/18903	0.00280670190955185	0.0295848063942461	0.0240791819572576	PARP9/PARP10	2
BP	GO:0035457	cellular response to interferon-alpha	2/153	10/18903	0.00280670190955185	0.0295848063942461	0.0240791819572576	IFIT3/IFIT2	2
BP	GO:2000659	regulation of interleukin-1-mediated signaling pathway	2/153	10/18903	0.00280670190955185	0.0295848063942461	0.0240791819572576	ZBP1/IL1RN	2
BP	GO:2001269	positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway	2/153	10/18903	0.00280670190955185	0.0295848063942461	0.0240791819572576	LGALS9/JAK2	2
BP	GO:0002708	positive regulation of lymphocyte mediated immunity	5/153	119/18903	0.00283533270484576	0.0297588765944495	0.0242208583288443	RSAD2/FCGR1A/NOD2/SH2D1B/FCER2	5
BP	GO:0042886	amide transport	8/153	296/18903	0.00287448896628508	0.0300414676646645	0.0244508602328124	FFAR2/ABCA1/IL1RN/CD38/TAP1/JAK2/PASK/BLK	8
BP	GO:0019362	pyridine nucleotide metabolic process	4/153	73/18903	0.0029127464295824	0.0301844102576133	0.024567201731188	PARP9/CD38/KYNU/PARP10	4
BP	GO:0046496	nicotinamide nucleotide metabolic process	4/153	73/18903	0.0029127464295824	0.0301844102576133	0.024567201731188	PARP9/CD38/KYNU/PARP10	4
BP	GO:0002367	cytokine production involved in immune response	5/153	120/18903	0.00293965026506048	0.0303352144999518	0.0246899418547096	RSAD2/FFAR2/BST2/NOD2/MYD88	5
BP	GO:0002698	negative regulation of immune effector process	5/153	122/18903	0.00315656690289036	0.0323022013062447	0.0262908795990737	SERPING1/CEACAM1/LGALS9/BST2/NOD2	5
BP	GO:0002761	regulation of myeloid leukocyte differentiation	5/153	122/18903	0.00315656690289036	0.0323022013062447	0.0262908795990737	CCR1/CEACAM1/IRF7/MAFB/TNFAIP6	5
BP	GO:0071675	regulation of mononuclear cell migration	5/153	123/18903	0.00326924792422864	0.0333164850701475	0.0271164088583105	CXCL10/CCR1/CCL2/LGALS9/C3AR1	5
BP	GO:0034110	regulation of homotypic cell-cell adhesion	3/153	37/18903	0.00330205599337914	0.0335117748749552	0.027275355943571	CEACAM1/JAK2/BLK	3
BP	GO:0050670	regulation of lymphocyte proliferation	7/153	239/18903	0.00336748165700723	0.0340351232494229	0.0277013110966287	TNFSF13B/LGALS9/CD38/JAK2/MYD88/CD6/BLK	7
BP	GO:2000109	regulation of macrophage apoptotic process	2/153	11/18903	0.0034122355446955	0.0343461085974268	0.0279544232069748	IRF7/NOD2	2
BP	GO:0002228	natural killer cell mediated immunity	4/153	77/18903	0.00353247925265814	0.0351245710304793	0.0285880166238986	CEACAM1/LGALS9/SH2D1B/KLRB1	4
BP	GO:0002534	cytokine production involved in inflammatory response	4/153	77/18903	0.00353247925265814	0.0351245710304793	0.0285880166238986	GBP5/NOD2/MYD88/CD6	4
BP	GO:1900015	regulation of cytokine production involved in inflammatory response	4/153	77/18903	0.00353247925265814	0.0351245710304793	0.0285880166238986	GBP5/NOD2/MYD88/CD6	4
BP	GO:0050863	regulation of T cell activation	9/153	376/18903	0.00358825528151088	0.0355353023039949	0.0289223123072545	CCL2/TNFSF13B/CEACAM1/LGALS9/NOD2/JAK2/CD6/HLA-DOB/HLA-DQB1	9
BP	GO:1903037	regulation of leukocyte cell-cell adhesion	9/153	377/18903	0.00365117033309893	0.0360131499521726	0.0293112342530326	CCL2/TNFSF13B/CEACAM1/LGALS9/NOD2/JAK2/CD6/HLA-DOB/HLA-DQB1	9
BP	GO:0032944	regulation of mononuclear cell proliferation	7/153	243/18903	0.00368842746514878	0.0362351114176216	0.0294918895002843	TNFSF13B/LGALS9/CD38/JAK2/MYD88/CD6/BLK	7
BP	GO:0097696	receptor signaling pathway via STAT	6/153	183/18903	0.00378603418781668	0.0370456260273669	0.0301515703008613	PARP9/CCL2/PARP14/STAT1/STAT2/JAK2	6
BP	GO:0002385	mucosal immune response	3/153	39/18903	0.00383833046126087	0.0370456260273669	0.0301515703008613	RNASE2/FFAR2/NOD2	3
